,Exercise Name,Exercise Type,Muscle Group,Equipment,Difficulty Level,Rating
1486,Pullups,Strength,Lats,Body Only,Intermediate,9.2
1487,Pull-up,Strength,Lats,Body Only,Beginner,8.9
1488,Muscle Up,Strength,Lats,Body Only,Intermediate,8.9
1489,Rope climb,Strength,Lats,Body Only,Intermediate,8.7
1490,Wide-Grip Rear Pull-Up,Strength,Lats,Body Only,Beginner,8.7
1491,Side To Side Chins,Strength,Lats,Body Only,Intermediate,8.4
1492,Neutral-grip pull-up,Strength,Lats,Body Only,Intermediate,8.2
1493,Kipping Muscle Up,Strength,Lats,Body Only,Intermediate,7.2
1494,One Arm Against Wall,Stretching,Lats,Body Only,Intermediate,5.8
1495,One Handed Hang,Stretching,Lats,Body Only,Intermediate,3.6
1496,Standing side bend stretch,Stretching,Lats,Body Only,Intermediate,3.2
1497,Burpee to pull-up,Plyometrics,Lats,Body Only,Intermediate,0.0
1498,Negative pull-up,Strength,Lats,Body Only,Intermediate,0.0
1499,Chin-Up,Strength,Lats,Body Only,Intermediate,
1500,HM Superman Lat Pull,Strength,Lats,Body Only,Intermediate,
1501,AM Pull-Up,Strength,Lats,Body Only,Intermediate,
1502,UP Chin-Up,Strength,Lats,Body Only,Intermediate,
1503,Holman Alternating Forward and Side Punch,Strength,Lats,Body Only,Intermediate,
1504,Jump to pull-up,Strength,Lats,Body Only,Intermediate,
1505,Bent-over scapular slide,Strength,Lats,Body Only,Intermediate,
1506,Iron cross stretch,Strength,Lats,Body Only,Intermediate,
1507,Total Fitness Standing Lat Stretch,Strength,Lats,Body Only,Intermediate,
1508,King Maker Pull-Up,Strength,Lats,Body Only,Intermediate,
1509,Medicine ball slam,Plyometrics,Lats,Medicine Ball,Intermediate,7.9
1510,Catch and Overhead Throw,Plyometrics,Lats,Medicine Ball,Beginner,5.8
1511,FYR2 Bent-Over Medicine Ball Slam,Strength,Lats,Medicine Ball,Intermediate,
1512,Band good morning-,Strength,Lower Back,Bands,Intermediate,
1513,FYR2 Monster Banded Good Morning,Strength,Lower Back,Bands,Intermediate,
1514,Band deadlift,Strength,Lower Back,Bands,Intermediate,
1515,Lower back SMR,Stretching,Lower Back,Foam Roll,Intermediate,4.5
1516,Barbell deficit deadlift,Powerlifting,Lower Back,Barbell,Beginner,9.4
1517,Deadlift with Bands,Powerlifting,Lower Back,Barbell,Beginner,8.7
1518,Deadlift with Chains,Powerlifting,Lower Back,Barbell,Beginner,8.6
1519,Rack Pull with Bands,Powerlifting,Lower Back,Barbell,Beginner,8.5
1520,Rack pull,Powerlifting,Lower Back,Barbell,Intermediate,8.3
1521,Seated Good Mornings,Powerlifting,Lower Back,Barbell,Beginner,8.1
1522,Stiff Leg Barbell Good Morning,Strength,Lower Back,Barbell,Beginner,8.1
1523,Reverse Band Deadlift,Powerlifting,Lower Back,Barbell,Beginner,0.0
1524,Paul Carter Romanian Deadlift,Strength,Lower Back,Barbell,Intermediate,
1525,TBS Good Morning,Strength,Lower Back,Barbell,Intermediate,
1526,TBS Romanian Deadlift,Strength,Lower Back,Barbell,Intermediate,
1527,Barbell deadlift-,Strength,Lower Back,Barbell,Intermediate,
1528,Deadlift - Gethin Variation,Strength,Lower Back,Barbell,Intermediate,
1529,Barbell good morning,Strength,Lower Back,Barbell,Intermediate,
1530,UP Conventional Deadlift,Strength,Lower Back,Barbell,Intermediate,
1531,30 Day Back Barbell Rack Pull,Strength,Lower Back,Barbell,Intermediate,
1532,FYR Sumo Deadlift High Pull,Strength,Lower Back,Kettlebells,Intermediate,
1533,Kettlebell deadlift,Strength,Lower Back,Kettlebells,Intermediate,
1534,HM Kettlebell Swing,Strength,Lower Back,Kettlebells,Intermediate,
1535,KV Romanian Deadlift with Kettlebell,Strength,Lower Back,Kettlebells,Intermediate,
1536,FYR2 Kettlebell Good Morning,Strength,Lower Back,Kettlebells,Intermediate,
1537,FYR2 Kettlebell Romanian Deadlift,Strength,Lower Back,Kettlebells,Intermediate,
1538,FYR2 Kettlebell Staggered-Stance Deadlift,Strength,Lower Back,Kettlebells,Intermediate,
1539,Dumbbell Fix Dumbbell Deadlift,Strength,Lower Back,Dumbbell,Intermediate,
1540,Dumbbell skier,Strength,Lower Back,Dumbbell,Intermediate,
1541,TBS Dumbbell Romanian Deadlift,Strength,Lower Back,Dumbbell,Intermediate,
1542,Stiff-Legged Dumbbell Deadlift - Gethin Variation,Strength,Lower Back,Dumbbell,Intermediate,
1543,UNS Dumbbell Romanian Deadlift,Strength,Lower Back,Dumbbell,Intermediate,
1544,Holman Slow Deadlift,Strength,Lower Back,Dumbbell,Intermediate,
1545,Holman Deadlift to Overhead Press,Strength,Lower Back,Dumbbell,Intermediate,
1546,Holman Staggered-Stance Deadlift,Strength,Lower Back,Dumbbell,Intermediate,
1547,Holman Deadlift to Front Raise,Strength,Lower Back,Dumbbell,Intermediate,
1548,Holman Deadlift to Chest Press,Strength,Lower Back,Dumbbell,Intermediate,
1549,Holman Deadlift to Squat Thrust,Strength,Lower Back,Dumbbell,Intermediate,
1550,Holman Deadlift to Biceps Curl,Strength,Lower Back,Dumbbell,Intermediate,
1551,Dumbbell kickstand deadlift,Strength,Lower Back,Dumbbell,Intermediate,
1552,Single-leg stiff-legged deadlift to row,Strength,Lower Back,Dumbbell,Intermediate,
1553,FYR2 Dumbbell Deadlift,Strength,Lower Back,Dumbbell,Intermediate,
1554,FYR2 Dumbbell Deadlift to Dumbbell Upright Row,Strength,Lower Back,Dumbbell,Intermediate,
1555,Atlas Stones,Strongman,Lower Back,Other,Intermediate,9.5
1556,Axle Deadlift,Strongman,Lower Back,Other,Beginner,9.1
1557,Atlas Stone Trainer,Strongman,Lower Back,Other,Beginner,6.4
1558,Partner Flat-Bench Back Extension,Strength,Lower Back,Other,Beginner,0.0
1559,Keg Load,Strongman,Lower Back,Other,Beginner,0.0
1560,Partner bench back extension,Strength,Lower Back,Other,Beginner,0.0
1561,Rack Pull - Gethin Variation,Strength,Lower Back,Other,Intermediate,
1562,Hex Bar Deadlift - Gethin Variation,Strength,Lower Back,Other,Intermediate,
1563,Holman Deadlift,Strength,Lower Back,Other,Intermediate,
1564,ACFT Low-handle trap bar deadlift,Strength,Lower Back,Other,Intermediate,
1565,Neutral-grip lat pull-down,Strength,Lower Back,Cable,Intermediate,
1566,Seated cable deadlift,Strength,Lower Back,Cable,Intermediate,
1567,Cable stiff-legged deadlift,Strength,Lower Back,Cable,Intermediate,
1568,Single-leg cable stiff-legged deadlift,Strength,Lower Back,Cable,Intermediate,
1569,UNS Banded Dumbbell Romanian Deadlift,Strength,Lower Back,Cable,Intermediate,
1570,Seated Back Extension,Strength,Lower Back,Machine,Beginner,8.2
1571,Back extension,Strength,Lower Back,Body Only,Intermediate,9.1
1572,Hyperextensions With No Hyperextension Bench,Strength,Lower Back,Body Only,Beginner,8.8
1573,Superman,Stretching,Lower Back,Body Only,Intermediate,8.3
1574,Hug A Ball,Stretching,Lower Back,Body Only,Intermediate,5.4
1575,Child's pose,Stretching,Lower Back,Body Only,Intermediate,5.3
1576,Pelvic Tilt Into Bridge,Stretching,Lower Back,Body Only,Intermediate,5.1
1577,Hug Knees To Chest,Stretching,Lower Back,Body Only,Intermediate,4.4
1578,Pyramid,Stretching,Lower Back,Body Only,Intermediate,1.0
1579,Partner Superman with alternating high-five,Strength,Lower Back,Body Only,Beginner,0.0
1580,Yoga plex,Stretching,Lower Back,Body Only,Intermediate,
1581,TBS Back Extension,Strength,Lower Back,Body Only,Intermediate,
1582,Lower Back Stretch - Yates Variation,Strength,Lower Back,Body Only,Intermediate,
1583,Hyperextension - Gethin Variation,Strength,Lower Back,Body Only,Intermediate,
1584,Back Extension - Gethin Variation,Strength,Lower Back,Body Only,Intermediate,
1585,HM Banana Stretch,Strength,Lower Back,Body Only,Intermediate,
1586,HM T-Spine Stretch on Wall,Stretching,Lower Back,Body Only,Intermediate,
1587,HM Child's Pose,Strength,Lower Back,Body Only,Intermediate,
1588,HM Cobra,Strength,Lower Back,Body Only,Intermediate,
1589,HM Cobra With Arm Retraction,Strength,Lower Back,Body Only,Intermediate,
1590,HM Dive-Bomber,Strength,Lower Back,Body Only,Intermediate,
1591,HM Downward-Facing Dog Pose,Strength,Lower Back,Body Only,Intermediate,
1592,HM Downward Dog To Left Leg Extension To Warrior Pose,Strength,Lower Back,Body Only,Intermediate,
1593,HM Downward Dog To Right Leg Extension To Warrior Pose,Strength,Lower Back,Body Only,Intermediate,
1594,HM Spine Twist,Strength,Lower Back,Body Only,Intermediate,
1595,HM Good Morning,Strength,Lower Back,Body Only,Intermediate,
1596,HM Rag Doll,Strength,Lower Back,Body Only,Intermediate,
1597,HM Upward-Facing Dog Pose,Strength,Lower Back,Body Only,Intermediate,
1598,Superman-,Strength,Lower Back,Body Only,Intermediate,
1599,Weighted back extension,Strength,Lower Back,Body Only,Intermediate,
1600,MetaBurn Alternating Superman,Strength,Lower Back,Body Only,Intermediate,
1601,MetaBurn Swimmer,Strength,Lower Back,Body Only,Intermediate,
1602,Exercise ball weighted hyperextension,Strength,Lower Back,Exercise Ball,Beginner,8.3
1603,Exercise ball rear delt fly,Strength,Lower Back,Exercise Ball,Intermediate,
1604,Lying rear delt Y,Strength,Lower Back,Exercise Ball,Intermediate,
1605,Partner Facing Feet-Elevated Side Plank With Band Row,Strength,Middle Back,Bands,Beginner,0.0
1606,Partner side plank band row,Strength,Middle Back,Bands,Intermediate,0.0
1607,Band-assisted chin-up,Strength,Middle Back,Bands,Intermediate,
1608,30 Back Band-Assisted Pull-Up,Strength,Middle Back,Bands,Intermediate,
1609,30 Back Reverse-Grip Band-Assisted Pull-Up,Strength,Middle Back,Bands,Intermediate,
1610,Band bent-over row,Strength,Middle Back,Bands,Intermediate,
1611,Heavy band bent-over row,Strength,Middle Back,Bands,Intermediate,
1612,Reverse-grip bent-over row,Strength,Middle Back,Barbell,Intermediate,9.2
1613,One-Arm Long Bar Row,Strength,Middle Back,Barbell,Intermediate,9.0
1614,Bent Over Barbell Row,Strength,Middle Back,Barbell,Intermediate,8.7
1615,Yates Row Reverse Grip,Strength,Middle Back,Barbell,Beginner,8.3
1616,Pendlay Row,Strength,Middle Back,Barbell,Intermediate,8.2
1617,Straight Bar Bench Mid Rows,Strength,Middle Back,Barbell,Beginner,6.5
1618,Barbell seal row,Strength,Middle Back,Barbell,Intermediate,6.2
1619,Yates Row,Strength,Middle Back,Barbell,Beginner,0.0
1620,Plate Row,Strength,Middle Back,Barbell,Beginner,0.0
1621,Barbell Deadlift Bent Row Complex,Strength,Middle Back,Barbell,Beginner,0.0
1622,Single-Arm Landmine Row,Strength,Middle Back,Barbell,Beginner,0.0
1623,TBS T-Bar Row,Strength,Middle Back,Barbell,Intermediate,
1624,TBS Deficit Deadlift,Strength,Middle Back,Barbell,Intermediate,
1625,Bent-Over Barbell Row - Gethin Variation,Strength,Middle Back,Barbell,Intermediate,
1626,Barbell bent-over row,Strength,Middle Back,Barbell,Intermediate,
1627,UN Barbell Rack Pull,Strength,Middle Back,Barbell,Intermediate,
1628,UN Barbell Scrape The Rack,Strength,Middle Back,Barbell,Intermediate,
1629,Barbell deadlift bent-over row complex,Strength,Middle Back,Barbell,Intermediate,
1630,30 Back Barbell Deadlift,Strength,Middle Back,Barbell,Intermediate,
1631,30 Back Bent-Over Barbell Row,Strength,Middle Back,Barbell,Intermediate,
1632,30 Back T-Bar Row,Strength,Middle Back,Barbell,Intermediate,
1633,30 Back Underhand Bent-Over Barbell Row,Strength,Middle Back,Barbell,Intermediate,
1634,Kettlebell alternating renegade row,Strength,Middle Back,Kettlebells,Intermediate,8.5
1635,Alternating Kettlebell Row,Strength,Middle Back,Kettlebells,Intermediate,7.9
1636,Two-Arm Kettlebell Row,Strength,Middle Back,Kettlebells,Beginner,7.3
1637,Kettlebell bent-over row to clean,Strength,Middle Back,Kettlebells,Intermediate,
1638,UP Deficit Kettlebell Stiff-Legged Deadlift,Strength,Middle Back,Kettlebells,Intermediate,
1639,FYR2 Dagger-Grip Double-Kettlebell Gorilla Row,Strength,Middle Back,Kettlebells,Intermediate,
1640,FYR2 Double-Kettlebell Swing Clean,Strength,Middle Back,Kettlebells,Intermediate,
1641,Single-arm kettlebell row-,Strength,Middle Back,Kettlebells,Intermediate,
1642,FYR2 Ascending-Rep Swing-Squat Complex,Strength,Middle Back,Kettlebells,Intermediate,
1643,One-Arm Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate,9.0
1644,Incline dumbbell row,Strength,Middle Back,Dumbbell,Intermediate,8.8
1645,Bent Over Two-Dumbbell Row With Palms In,Strength,Middle Back,Dumbbell,Beginner,8.8
1646,Man-maker,Strength,Middle Back,Dumbbell,Intermediate,8.4
1647,Dumbbell bent-over row,Strength,Middle Back,Dumbbell,Intermediate,8.3
1648,Middle Back Shrug,Strength,Middle Back,Dumbbell,Beginner,8.3
1649,Dumbbell pull-over to skullcrusher,Strength,Middle Back,Dumbbell,Intermediate,
1650,Dumbbell Fix Single-Arm Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate,
1651,Dumbbell Fix Bent-Over Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate,
1652,Dumbbell Seal Row - Gethin Variation,Strength,Middle Back,Dumbbell,Intermediate,
1653,Decline dumbbell chest fly,Strength,Middle Back,Dumbbell,Intermediate,
1654,TBS Bent-Over Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate,
1655,HM Alternating Bent-Over Quick Row,Strength,Middle Back,Dumbbell,Intermediate,
1656,HM Bent-Over Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate,
1657,AM Single Arm Row,Strength,Middle Back,Dumbbell,Intermediate,
1658,Dumbbell stiff-legged deadlift,Strength,Middle Back,Dumbbell,Intermediate,
1659,Single-arm bench dumbbell row,Strength,Middle Back,Dumbbell,Intermediate,
1660,UN Bent-Over Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate,
1661,UN Dumbbell RDL,Strength,Middle Back,Dumbbell,Intermediate,
1662,UN Chest Supported Row,Strength,Middle Back,Dumbbell,Intermediate,
1663,MetaBurn Bent-Over Renegade Row,Strength,Middle Back,Dumbbell,Intermediate,
1664,30 Back Bent-Over Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate,
1665,30 Back Dumbbell Pull-Over,Strength,Middle Back,Dumbbell,Intermediate,
1666,30 Back Incline Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate,
1667,30 Back Single-Arm Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate,
1668,30 Back Single-Arm Dumbbell Swing Row,Strength,Middle Back,Dumbbell,Intermediate,
1669,T-Bar Row with Handle,Strength,Middle Back,Other,Intermediate,9.5
1670,T-Bar Row,Strength,Middle Back,Other,Intermediate,8.9
1671,Alternating sit-through with crunch,Strength,Middle Back,Other,Intermediate,8.9
1672,Seated Cable Rows,Strength,Middle Back,Cable,Intermediate,8.8
1673,Upside-down pull-up,Strength,Middle Back,Other,Intermediate,8.8
1674,Smith machine inverted row,Strength,Middle Back,Other,Intermediate,8.2
1675,Lying T-Bar Row,Strength,Middle Back,Other,Intermediate,7.9
1676,Suspended row,Strength,Middle Back,Other,Intermediate,7.6
1677,Inverted Row with Straps,Strength,Middle Back,Other,Beginner,6.4
1678,One Arm Chin-Up,Strength,Middle Back,Other,Beginner,6.3
1679,Sled Row,Strength,Middle Back,Other,Beginner,0.0
1680,Paul Carter T-Bar Row,Strength,Middle Back,Other,Intermediate,
1681,Single-Arm Bent-Over Rear Delt Raise - Gethin Variation,Strength,Middle Back,Other,Intermediate,
1682,30 Back Plate Hyperextension,Strength,Middle Back,Other,Intermediate,
1683,Single-arm cable seated row,Strength,Middle Back,Cable,Intermediate,8.5
1684,Paul Carter Lat Pull-Down,Strength,Middle Back,Cable,Intermediate,
1685,TBS Lat Pull-Down,Strength,Middle Back,Cable,Intermediate,
1686,One-Arm Cable Read Delt Fly - Gethin Variation,Strength,Middle Back,Cable,Intermediate,
1687,UP Seated Cable Row,Strength,Middle Back,Cable,Intermediate,
1688,UP Cable Straight-Arm Pull-Down,Strength,Middle Back,Cable,Intermediate,
1689,UN Cable Pull-Through,Strength,Middle Back,Cable,Intermediate,
1690,30 Back Close-Grip Seated Cable Row,Strength,Middle Back,Cable,Intermediate,
1691,30 Back Incline Face-Up Cable Pull-Down,Strength,Middle Back,Cable,Intermediate,
1692,30 Back Kneeling High Cable Pull-Down,Strength,Middle Back,Cable,Intermediate,
1693,30 Back Leaning V-Bar Pull-Down,Strength,Middle Back,Cable,Intermediate,
1694,30 Back Reverse-Grip Pull-Down,Strength,Middle Back,Cable,Intermediate,
1695,30 Back Standing Low Cable Bar Row,Strength,Middle Back,Cable,Intermediate,
1696,30 Back Standing Low Cable Rope Row,Strength,Middle Back,Cable,Intermediate,
1697,30 Back Straight-Arm Bar Pull-Down,Strength,Middle Back,Cable,Intermediate,
1698,30 Back Straight-Arm Rope Pull-Down,Strength,Middle Back,Cable,Intermediate,
1699,30 Back Wide-Grip Behind-The-Head Pull-Down,Strength,Middle Back,Cable,Intermediate,
1700,30 Back Wide-Grip Pull-Down,Strength,Middle Back,Cable,Intermediate,
1701,30 back Wide-Grip Seated Cable Row,Strength,Middle Back,Cable,Intermediate,
1702,Rower,Cardio,Middle Back,Machine,Intermediate,8.9
1703,Smith machine bent-over row,Strength,Middle Back,Machine,Intermediate,8.1
1704,Leverage High Row,Strength,Middle Back,Machine,Beginner,7.9
1705,Machine Low Row,Strength,Middle Back,Machine,Intermediate,
1706,Standing lat pull-down,Strength,Middle Back,Machine,Intermediate,
1707,30 Back Machine Seated Row,Strength,Middle Back,Machine,Intermediate,
1708,30 Back Smith Machine Push-Up,Strength,Middle Back,Machine,Intermediate,
1709,Mixed Grip Chin,Strength,Middle Back,Body Only,Intermediate,8.2
1710,Rhomboids SMR,Stretching,Middle Back,Body Only,Intermediate,5.7
1711,Spinal Stretch,Stretching,Middle Back,Body Only,Intermediate,5.3
1712,Upper Back Stretch,Stretching,Middle Back,Body Only,Intermediate,4.2
1713,Middle Back Stretch,Stretching,Middle Back,Body Only,Intermediate,3.8
1714,TBS Pull-Up,Strength,Middle Back,Body Only,Intermediate,
1715,HM Angel Stretch,Strength,Middle Back,Body Only,Intermediate,
1716,UNS Foam Roll Upper Back,Strength,Middle Back,Body Only,Intermediate,
1717,30 Back Neutral-Grip Pull-Down,Strength,Middle Back,Body Only,Intermediate,
1718,30 Back Pull-Up,Strength,Middle Back,Body Only,Intermediate,
1719,30 Back Reverse-Grip Pull-Up,Strength,Middle Back,Body Only,Intermediate,
1720,ACFT Medicine ball overhead power throw,Strength,Middle Back,Medicine Ball,Intermediate,
1721,Upright Row - With Bands,Strength,Traps,Bands,Beginner,7.8
1722,Band seated row,Strength,Traps,Bands,Intermediate,
1723,Barbell shrug,Strength,Traps,Barbell,Intermediate,8.4
1724,Barbell behind-the-back shrug,Strength,Traps,Barbell,Intermediate,8.3
1725,Clean Shrug,Olympic Weightlifting,Traps,Barbell,Beginner,6.8
1726,Snatch Shrug,Olympic Weightlifting,Traps,Barbell,Beginner,6.2
1727,Single-arm inverted row,Strength,Traps,Barbell,Intermediate,
1728,Kettlebell sumo deadlift high pull,Strength,Traps,Kettlebells,Intermediate,8.7
1729,Standing dumbbell shrug,Strength,Traps,Dumbbell,Intermediate,8.7
1730,Standing dumbbell upright row,Strength,Traps,Dumbbell,Intermediate,8.7
1731,Dumbbell pull-over,Strength,Traps,Dumbbell,Intermediate,
1732,Standing Dumbbell Shrug - Gethin Variation,Strength,Traps,Dumbbell,Intermediate,
1733,Single-arm dumbbell row,Strength,Traps,Dumbbell,Intermediate,
1734,Lying Face Down Plate Neck Resistance,Strength,Neck,Other,Beginner,9.3
1735,Lying Face Up Plate Neck Resistance,Strength,Neck,Other,Beginner,8.4
1736,Seated Head Harness Neck Resistance,Strength,Neck,Other,Beginner,7.6
1737,Cable straight-bar upright row,Strength,Traps,Cable,Intermediate,8.1
1738,Cable shrug,Strength,Traps,Cable,Intermediate,7.9
1739,Smith machine shrug,Strength,Traps,Machine,Intermediate,9.2
1740,Leverage Shrug,Strength,Traps,Machine,Intermediate,9.1
1741,Calf-Machine Shoulder Shrug,Strength,Traps,Machine,Beginner,8.7
1742,Smith machine behind-the-back shrug,Strength,Traps,Machine,Intermediate,7.8
1743,Smith machine upright row,Strength,Traps,Machine,Intermediate,7.3
1744,Machine low row-,Strength,Traps,Machine,Intermediate,
1745,Machine Shrug - Gethin Variation,Strength,Traps,Machine,Intermediate,
1746,Smith machine single-arm shrug,Strength,Traps,Machine,Intermediate,
1747,Isometric Neck Exercise - Sides,Strength,Neck,Body Only,Beginner,7.4
1748,Isometric Neck Exercise - Front And Back,Strength,Neck,Body Only,Beginner,6.4
1749,Neck Bridge Prone,Strength,Neck,Body Only,Beginner,5.7
1750,Side Neck Stretch,Stretching,Neck,Body Only,Intermediate,4.8
1751,Neck-SMR,Stretching,Neck,Body Only,Intermediate,2.8
1752,Single-leg depth squat,Strength,Quadriceps,Bands,Intermediate,9.0
1753,Squats - With Bands,Strength,Quadriceps,Bands,Beginner,5.8
1754,Hip Flexion with Band,Strength,Quadriceps,Bands,Beginner,0.0
1755,Forward Band Walk,Strength,Quadriceps,Bands,Beginner,0.0
1756,Boss Everline Resistance-Band Pull Sprint,Strength,Quadriceps,Bands,Intermediate,
1757,Banded jump squat,Strength,Quadriceps,Bands,Intermediate,
1758,Speed Box Squat,Powerlifting,Quadriceps,Bands,Intermediate,
1759,HM Banded Squat Toe Tap,Strength,Quadriceps,Bands,Intermediate,
1760,UP Band Abducted Squat,Strength,Quadriceps,Bands,Intermediate,
1761,FYR2 Lateral Band Walk,Strength,Quadriceps,Bands,Intermediate,
1762,FYR2 Banded Squat Hold-Pulse-Jump Complex,Strength,Quadriceps,Bands,Intermediate,
1763,Band split squat,Strength,Quadriceps,Bands,Intermediate,
1764,Band front squat,Strength,Quadriceps,Bands,Intermediate,
1765,Squat hold with band pull-apart,Strength,Quadriceps,Bands,Intermediate,
1766,Banded squat toe tap,Strength,Quadriceps,Bands,Intermediate,
1767,Band overhead squat,Strength,Quadriceps,Bands,Intermediate,
1768,Quadriceps SMR,Stretching,Quadriceps,Foam Roll,Intermediate,5.4
1769,Clean from Blocks,Olympic Weightlifting,Quadriceps,Barbell,Beginner,9.5
1770,Barbell Full Squat,Strength,Quadriceps,Barbell,Intermediate,9.4
1771,Barbell back squat to box,Powerlifting,Quadriceps,Barbell,Intermediate,9.3
1772,Push-press,Olympic Weightlifting,Quadriceps,Barbell,Intermediate,9.3
1773,Power snatch-,Olympic Weightlifting,Quadriceps,Barbell,Expert,9.3
1774,Hang Clean,Olympic Weightlifting,Quadriceps,Barbell,Beginner,9.3
1775,Barbell walking lunge,Strength,Quadriceps,Barbell,Intermediate,9.2
1776,Olympic Squat,Olympic Weightlifting,Quadriceps,Barbell,Beginner,9.1
1777,Narrow-stance squat,Strength,Quadriceps,Barbell,Expert,9.0
1778,Box Squat with Bands,Powerlifting,Quadriceps,Barbell,Beginner,9.0
1779,Weighted Jump Squat,Strength,Quadriceps,Barbell,Beginner,9.0
1780,Squat with Chains,Powerlifting,Quadriceps,Barbell,Beginner,9.0
1781,Barbell Squat,Strength,Quadriceps,Barbell,Intermediate,8.9
1782,Barbell front squat,Strength,Quadriceps,Barbell,Intermediate,8.9
1783,Barbell forward lunge,Strength,Quadriceps,Barbell,Expert,8.8
1784,Smith machine box squat,Strength,Quadriceps,Barbell,Intermediate,8.8
1785,Barbell step-up,Strength,Quadriceps,Barbell,Intermediate,8.7
1786,Barbell Bulgarian split squat,Strength,Quadriceps,Barbell,Intermediate,8.5
1787,Hang Clean - Below the Knees,Olympic Weightlifting,Quadriceps,Barbell,Beginner,8.5
1788,Barbell hack squat,Strength,Quadriceps,Barbell,Expert,8.5
1789,Hack Squat,Strength,Quadriceps,Barbell,Intermediate,8.4
1790,Barbell thruster,Strength,Quadriceps,Barbell,Intermediate,8.3
1791,Split Jerk,Olympic Weightlifting,Quadriceps,Barbell,Beginner,8.3
1792,Push-jerk,Olympic Weightlifting,Quadriceps,Barbell,Intermediate,8.2
1793,Barbell back squat,Strength,Quadriceps,Barbell,Intermediate,8.2
1794,Zercher squat,Strength,Quadriceps,Barbell,Intermediate,8.1
1795,Jefferson Squats,Strength,Quadriceps,Barbell,Beginner,8.0
1796,Jerk Dip Squat,Olympic Weightlifting,Quadriceps,Barbell,Beginner,8.0
1797,Barbell side split squat,Strength,Quadriceps,Barbell,Intermediate,7.8
1798,Frankenstein Squat,Olympic Weightlifting,Quadriceps,Barbell,Beginner,7.7
1799,Barbell speed squat,Strength,Quadriceps,Barbell,Intermediate,7.7
1800,Single-arm side deadlift,Strength,Quadriceps,Barbell,Expert,7.5
1801,Barbell Squat To A Bench,Strength,Quadriceps,Barbell,Intermediate,7.4
1802,Clean Pull,Olympic Weightlifting,Quadriceps,Barbell,Beginner,7.2
1803,Front Barbell Squat To A Bench,Strength,Quadriceps,Barbell,Beginner,5.3
1804,Barbell reverse lunge,Strength,Quadriceps,Barbell,Intermediate,0.0
1805,Split Clean,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.0
1806,Close-stance dumbbell front squat,Strength,Quadriceps,Barbell,Intermediate,0.0
1807,Front Squat (Clean Grip),Strength,Quadriceps,Barbell,Beginner,0.0
1808,Barbell front squat to back squat,Strength,Quadriceps,Barbell,Intermediate,0.0
1809,Squat Jerk,Strength,Quadriceps,Barbell,Beginner,0.0
1810,Barbell Front-To-Back Squat,Strength,Quadriceps,Barbell,Intermediate,0.0
1811,Box Squat with Chains,Strength,Quadriceps,Barbell,Beginner,0.0
1812,Snatch from Blocks,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.0
1813,Power Snatch from Blocks,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.0
1814,Front Squat (Bodybuilder),Strength,Quadriceps,Barbell,Intermediate,0.0
1815,Barbell step-down reverse lunge,Strength,Quadriceps,Barbell,Intermediate,0.0
1816,Squat with Bands,Powerlifting,Quadriceps,Barbell,Beginner,0.0
1817,Heaving Snatch Balance,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.0
1818,Snatch Balance,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.0
1819,Reverse Band Power Squat,Powerlifting,Quadriceps,Barbell,Beginner,0.0
1820,Paul Carter Back Squat,Strength,Quadriceps,Barbell,Intermediate,
1821,Paul Carter Barbell Split Squat,Strength,Quadriceps,Barbell,Intermediate,
1822,TBS High-Bar Back Squat,Strength,Quadriceps,Barbell,Intermediate,
1823,TBS Barbell Front Squat,Strength,Quadriceps,Barbell,Intermediate,
1824,Squat - Gethin Variation,Strength,Quadriceps,Barbell,Intermediate,
1825,Front-To-Back Barbell Squat,Strength,Quadriceps,Barbell,Intermediate,
1826,Barbell Lunge - Gethin Variation,Strength,Quadriceps,Barbell,Intermediate,
1827,Rack Deadlift - Gethin Variation,Strength,Quadriceps,Barbell,Intermediate,
1828,Barbell Squat - Gethin Variation,Strength,Quadriceps,Barbell,Intermediate,
1829,Barbell Good Morning - Gethin Variation,Strength,Quadriceps,Barbell,Intermediate,
1830,AM Barbell Squat,Strength,Quadriceps,Barbell,Intermediate,
1831,Plyometric Power Clean,Strength,Quadriceps,Barbell,Intermediate,
1832,Banded Split Jerk,Strength,Quadriceps,Barbell,Intermediate,
1833,UP Squat,Strength,Quadriceps,Barbell,Intermediate,
1834,UN Barbell Back Squat,Strength,Quadriceps,Barbell,Intermediate,
1835,UN Barbell Box Squat,Strength,Quadriceps,Barbell,Intermediate,
1836,UN Barbell Front Squat,Strength,Quadriceps,Barbell,Intermediate,
